name,length,avg_gradient,steepest_section,elevation_gain,duration,latitude,longitude,url
Zevendal,De Zevendal is 2.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Zevendal is 2.8%.,De steilste 100 meter van de Zevendal zijn gemiddeld 7%.,De top van de Zevendal ligt op 77 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:18:54 over de Zevendal. Bij 11 km/u is de tijd 00:12:01 en bij 15 km/u 00:08:49. Voor de snelste fietsers is 00:06:57 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/zevendal
Kuitenberg,De Kuitenberg is 2.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Kuitenberg is 2.6%.,De steilste 100 meter van de Kuitenberg zijn gemiddeld 8.8%.,De top van de Kuitenberg ligt op 122 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:22:03 over de Kuitenberg. Bij 11 km/u is de tijd 00:14:02 en bij 15 km/u 00:10:17. Voor de snelste fietsers is 00:08:07 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kuitenberg
Groesbeekseweg / Col du Bisselt vanuit Mook,De Groesbeekseweg / Col du Bisselt vanuit Mook is 2.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Groesbeekseweg / Col du Bisselt vanuit Mook is 2.7%.,De steilste 100 meter van de Groesbeekseweg / Col du Bisselt vanuit Mook zijn gemiddeld 8%.,De top van de Groesbeekseweg / Col du Bisselt vanuit Mook ligt op 81 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:21:57 over de Groesbeekseweg / Col du Bisselt vanuit Mook. Bij 11 km/u is de tijd 00:13:58 en bij 15 km/u 00:10:14. Voor de snelste fietsers is 00:08:05 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/groesbeekseweg
Kluizenaarsweg via Dennenweg,De Kluizenaarsweg via Dennenweg is 1.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Kluizenaarsweg via Dennenweg is 4.2%.,De steilste 100 meter van de Kluizenaarsweg via Dennenweg zijn gemiddeld 8.7%.,De top van de Kluizenaarsweg via Dennenweg ligt op 99 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:14:44 over de Kluizenaarsweg via Dennenweg. Bij 11 km/u is de tijd 00:09:22 en bij 15 km/u 00:06:52. Voor de snelste fietsers is 00:05:25 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kluizenaarsweg
Walem vanuit Schin op Geul,De Walem vanuit Schin op Geul is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Walem vanuit Schin op Geul is 4.3%.,De steilste 100 meter van de Walem vanuit Schin op Geul zijn gemiddeld 9.7%.,De top van de Walem vanuit Schin op Geul ligt op 144 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:12:37 over de Walem vanuit Schin op Geul. Bij 11 km/u is de tijd 00:08:01 en bij 15 km/u 00:05:53. Voor de snelste fietsers is 00:04:38 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/walem
Rasberg vanuit Maastricht,De Rasberg vanuit Maastricht is 2.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Rasberg vanuit Maastricht is 2.5%.,De steilste 100 meter van de Rasberg vanuit Maastricht zijn gemiddeld 7.1%.,De top van de Rasberg vanuit Maastricht ligt op 122 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:22:42 over de Rasberg vanuit Maastricht. Bij 11 km/u is de tijd 00:14:26 en bij 15 km/u 00:10:35. Voor de snelste fietsers is 00:08:21 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/rasberg
Aardmansberg vanuit Uddel,De Aardmansberg vanuit Uddel is 5.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Aardmansberg vanuit Uddel is 1.4%.,De steilste 100 meter van de Aardmansberg vanuit Uddel zijn gemiddeld 5.9%.,De top van de Aardmansberg vanuit Uddel ligt op 104 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:48:37 over de Aardmansberg vanuit Uddel. Bij 11 km/u is de tijd 00:30:56 en bij 15 km/u 00:22:41. Voor de snelste fietsers is 00:17:54 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/aardmansberg-uddel
Soester Hoogt vanuit Soesterberg,De Soester Hoogt vanuit Soesterberg is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Soester Hoogt vanuit Soesterberg is 4.9%.,De steilste 100 meter van de Soester Hoogt vanuit Soesterberg zijn gemiddeld 8.3%.,De top van de Soester Hoogt vanuit Soesterberg ligt op 44 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:31 over de Soester Hoogt vanuit Soesterberg. Bij 11 km/u is de tijd 00:01:36 en bij 15 km/u 00:01:10. Voor de snelste fietsers is 00:00:55 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/soesterhoogt
Mathieu van der Poel Allee vanuit Terblijt,De Mathieu van der Poel Allee vanuit Terblijt is 1.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Mathieu van der Poel Allee vanuit Terblijt is 1.7%.,De steilste 100 meter van de Mathieu van der Poel Allee vanuit Terblijt zijn gemiddeld 3.8%.,De top van de Mathieu van der Poel Allee vanuit Terblijt ligt op 138 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:14:52 over de Mathieu van der Poel Allee vanuit Terblijt. Bij 11 km/u is de tijd 00:09:28 en bij 15 km/u 00:06:56. Voor de snelste fietsers is 00:05:28 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/mathieu-van-der-poel-allee-terblijt
Het Vette Nijlpaard via Hommelseweg,De Het Vette Nijlpaard via Hommelseweg is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Het Vette Nijlpaard via Hommelseweg is 4.2%.,De steilste 100 meter van de Het Vette Nijlpaard via Hommelseweg zijn gemiddeld 9.5%.,De top van de Het Vette Nijlpaard via Hommelseweg ligt op 93 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:12:33 over de Het Vette Nijlpaard via Hommelseweg. Bij 11 km/u is de tijd 00:07:59 en bij 15 km/u 00:05:51. Voor de snelste fietsers is 00:04:37 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hommelseweg
Elkenraderweg vanuit Wijlre,De Elkenraderweg vanuit Wijlre is 2.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Elkenraderweg vanuit Wijlre is 4.5%.,De steilste 100 meter van de Elkenraderweg vanuit Wijlre zijn gemiddeld 9.6%.,De top van de Elkenraderweg vanuit Wijlre ligt op 181 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:18:27 over de Elkenraderweg vanuit Wijlre. Bij 11 km/u is de tijd 00:11:44 en bij 15 km/u 00:08:36. Voor de snelste fietsers is 00:06:47 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/elkenraderweg
Ugchelse Berg vanuit Ugchelen,De Ugchelse Berg vanuit Ugchelen is 2.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Ugchelse Berg vanuit Ugchelen is 2.2%.,De steilste 100 meter van de Ugchelse Berg vanuit Ugchelen zijn gemiddeld 5%.,De top van de Ugchelse Berg vanuit Ugchelen ligt op 92 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:23:22 over de Ugchelse Berg vanuit Ugchelen. Bij 11 km/u is de tijd 00:14:52 en bij 15 km/u 00:10:54. Voor de snelste fietsers is 00:08:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/ugchelse-berg
Goudsberg vanuit Meulunteren,De Goudsberg vanuit Meulunteren is 1.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Goudsberg vanuit Meulunteren is 3%.,De steilste 100 meter van de Goudsberg vanuit Meulunteren zijn gemiddeld 7.9%.,De top van de Goudsberg vanuit Meulunteren ligt op 55 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:52 over de Goudsberg vanuit Meulunteren. Bij 11 km/u is de tijd 00:06:55 en bij 15 km/u 00:05:04. Voor de snelste fietsers is 00:04:00 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/goudsberg-lunteren
Korte Raarberg vanuit Meerssen,De Korte Raarberg vanuit Meerssen is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Korte Raarberg vanuit Meerssen is 4.8%.,De steilste 100 meter van de Korte Raarberg vanuit Meerssen zijn gemiddeld 12.1%.,De top van de Korte Raarberg vanuit Meerssen ligt op 126 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:12:33 over de Korte Raarberg vanuit Meerssen. Bij 11 km/u is de tijd 00:07:59 en bij 15 km/u 00:05:51. Voor de snelste fietsers is 00:04:37 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/korte-raarberg
Heijenoordseweg via Mariëndaal,De Heijenoordseweg via Mariëndaal is 2 kilometer lang.,Het gemiddelde stijgingspercentage van de Heijenoordseweg via Mariëndaal is 3.2%.,De steilste 100 meter van de Heijenoordseweg via Mariëndaal zijn gemiddeld 10.8%.,De top van de Heijenoordseweg via Mariëndaal ligt op 76 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:17:09 over de Heijenoordseweg via Mariëndaal. Bij 11 km/u is de tijd 00:10:54 en bij 15 km/u 00:08:00. Voor de snelste fietsers is 00:06:19 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/heijenoordseweg
Duivels Bosch,De Duivels Bosch is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Duivels Bosch is 5%.,De steilste 100 meter van de Duivels Bosch zijn gemiddeld 14.7%.,De top van de Duivels Bosch ligt op 154 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:34 over de Duivels Bosch. Bij 11 km/u is de tijd 00:05:27 en bij 15 km/u 00:04:00. Voor de snelste fietsers is 00:03:09 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/duivels-bosch
Botterstop via Bergzicht,De Botterstop via Bergzicht is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Botterstop via Bergzicht is 3.6%.,De steilste 100 meter van de Botterstop via Bergzicht zijn gemiddeld 5.4%.,De top van de Botterstop via Bergzicht ligt op 55 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:33 over de Botterstop via Bergzicht. Bij 11 km/u is de tijd 00:06:05 en bij 15 km/u 00:04:27. Voor de snelste fietsers is 00:03:31 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/botterstop
Thijmse Berg vanuit Cuneraweg,De Thijmse Berg vanuit Cuneraweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Thijmse Berg vanuit Cuneraweg is 4.6%.,De steilste 100 meter van de Thijmse Berg vanuit Cuneraweg zijn gemiddeld 8%.,De top van de Thijmse Berg vanuit Cuneraweg ligt op 49 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:18 over de Thijmse Berg vanuit Cuneraweg. Bij 11 km/u is de tijd 00:04:39 en bij 15 km/u 00:03:24. Voor de snelste fietsers is 00:02:41 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/thijmse-berg
Defensieweg vanuit Elst,De Defensieweg vanuit Elst is 2.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Defensieweg vanuit Elst is 2%.,De steilste 100 meter van de Defensieweg vanuit Elst zijn gemiddeld 3.8%.,De top van de Defensieweg vanuit Elst ligt op 63 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:20:35 over de Defensieweg vanuit Elst. Bij 11 km/u is de tijd 00:13:06 en bij 15 km/u 00:09:36. Voor de snelste fietsers is 00:07:35 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/defensieweg-elst
Burgemeester Honcooplaan vanuit Wapenveld,De Burgemeester Honcooplaan vanuit Wapenveld is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Burgemeester Honcooplaan vanuit Wapenveld is 4.4%.,De steilste 100 meter van de Burgemeester Honcooplaan vanuit Wapenveld zijn gemiddeld 6%.,De top van de Burgemeester Honcooplaan vanuit Wapenveld ligt op 46 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:51 over de Burgemeester Honcooplaan vanuit Wapenveld. Bij 11 km/u is de tijd 00:04:21 en bij 15 km/u 00:03:12. Voor de snelste fietsers is 00:02:31 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/trijselenberg
Raar via Visweg,De Raar via Visweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Raar via Visweg is 5.5%.,De steilste 100 meter van de Raar via Visweg zijn gemiddeld 8.2%.,De top van de Raar via Visweg ligt op 121 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:07 over de Raar via Visweg. Bij 11 km/u is de tijd 00:05:10 en bij 15 km/u 00:03:47. Voor de snelste fietsers is 00:02:59 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/visweg
Menthenberg vanuit Arnhem,De Menthenberg vanuit Arnhem is 2.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Menthenberg vanuit Arnhem is 2.1%.,De steilste 100 meter van de Menthenberg vanuit Arnhem zijn gemiddeld 5.9%.,De top van de Menthenberg vanuit Arnhem ligt op 71 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:21:02 over de Menthenberg vanuit Arnhem. Bij 11 km/u is de tijd 00:13:23 en bij 15 km/u 00:09:49. Voor de snelste fietsers is 00:07:45 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/menthenberg
Hellendoornse Berg vanuit Hellendoorn,De Hellendoornse Berg vanuit Hellendoorn is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Hellendoornse Berg vanuit Hellendoorn is 4.3%.,De steilste 100 meter van de Hellendoornse Berg vanuit Hellendoorn zijn gemiddeld 7.7%.,De top van de Hellendoornse Berg vanuit Hellendoorn ligt op 43 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:26 over de Hellendoornse Berg vanuit Hellendoorn. Bij 11 km/u is de tijd 00:04:06 en bij 15 km/u 00:03:00. Voor de snelste fietsers is 00:02:22 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hellendoornse-berg-hellendoorn
Bergenhuizen,De Bergenhuizen is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Bergenhuizen is 8.1%.,De steilste 100 meter van de Bergenhuizen zijn gemiddeld 10.6%.,De top van de Bergenhuizen ligt op 180 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:57 over de Bergenhuizen. Bij 11 km/u is de tijd 00:03:09 en bij 15 km/u 00:02:18. Voor de snelste fietsers is 00:01:49 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bergenhuizen
Rijzendeweg via Dorpsstraat,De Rijzendeweg via Dorpsstraat is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Rijzendeweg via Dorpsstraat is 3.3%.,De steilste 100 meter van de Rijzendeweg via Dorpsstraat zijn gemiddeld 5%.,De top van de Rijzendeweg via Dorpsstraat ligt op 20 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:06 over de Rijzendeweg via Dorpsstraat. Bij 11 km/u is de tijd 00:02:36 en bij 15 km/u 00:01:54. Voor de snelste fietsers is 00:01:30 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/rijzendeweg-dorpsstraat
Hoog Soeren vanuit Apeldoorn,De Hoog Soeren vanuit Apeldoorn is 4 kilometer lang.,Het gemiddelde stijgingspercentage van de Hoog Soeren vanuit Apeldoorn is 1.9%.,De steilste 100 meter van de Hoog Soeren vanuit Apeldoorn zijn gemiddeld 5.8%.,De top van de Hoog Soeren vanuit Apeldoorn ligt op 96 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:33:55 over de Hoog Soeren vanuit Apeldoorn. Bij 11 km/u is de tijd 00:21:35 en bij 15 km/u 00:15:49. Voor de snelste fietsers is 00:12:29 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hoog-soeren
Ingbergrachtweg vanuit Gulpen,De Ingbergrachtweg vanuit Gulpen is 2.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Ingbergrachtweg vanuit Gulpen is 3.3%.,De steilste 100 meter van de Ingbergrachtweg vanuit Gulpen zijn gemiddeld 6.1%.,De top van de Ingbergrachtweg vanuit Gulpen ligt op 177 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:20:20 over de Ingbergrachtweg vanuit Gulpen. Bij 11 km/u is de tijd 00:12:56 en bij 15 km/u 00:09:29. Voor de snelste fietsers is 00:07:29 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/ingbergrachtweg
Westberg via Westbergweg,De Westberg via Westbergweg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Westberg via Westbergweg is 3.8%.,De steilste 100 meter van de Westberg via Westbergweg zijn gemiddeld 8.4%.,De top van de Westberg via Westbergweg ligt op 39 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:08 over de Westberg via Westbergweg. Bij 11 km/u is de tijd 00:02:38 en bij 15 km/u 00:01:55. Voor de snelste fietsers is 00:01:31 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/wageningsche-berg-zuid
Bronckweg vanuit Maastricht,De Bronckweg vanuit Maastricht is 2.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Bronckweg vanuit Maastricht is 2.9%.,De steilste 100 meter van de Bronckweg vanuit Maastricht zijn gemiddeld 9.8%.,De top van de Bronckweg vanuit Maastricht ligt op 131 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:19:40 over de Bronckweg vanuit Maastricht. Bij 11 km/u is de tijd 00:12:31 en bij 15 km/u 00:09:10. Voor de snelste fietsers is 00:07:14 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bronckweg
Fromberg via Frombergerweg,De Fromberg via Frombergerweg is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Fromberg via Frombergerweg is 4.8%.,De steilste 100 meter van de Fromberg via Frombergerweg zijn gemiddeld 8.5%.,De top van de Fromberg via Frombergerweg ligt op 166 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:13:04 over de Fromberg via Frombergerweg. Bij 11 km/u is de tijd 00:08:19 en bij 15 km/u 00:06:06. Voor de snelste fietsers is 00:04:49 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/fromberg-frombergerweg
Schey,De Schey is 2.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Schey is 3.2%.,De steilste 100 meter van de Schey zijn gemiddeld 8.4%.,De top van de Schey ligt op 220 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:17:39 over de Schey. Bij 11 km/u is de tijd 00:11:14 en bij 15 km/u 00:08:14. Voor de snelste fietsers is 00:06:30 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/schey
Kleeberg,De Kleeberg is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Kleeberg is 4.6%.,De steilste 100 meter van de Kleeberg zijn gemiddeld 6.4%.,De top van de Kleeberg ligt op 166 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:41 over de Kleeberg. Bij 11 km/u is de tijd 00:05:31 en bij 15 km/u 00:04:03. Voor de snelste fietsers is 00:03:12 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kleeberg
Peeskesbult vanuit 's Heerenberg,De Peeskesbult vanuit 's Heerenberg is 1.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Peeskesbult vanuit 's Heerenberg is 3.1%.,De steilste 100 meter van de Peeskesbult vanuit 's Heerenberg zijn gemiddeld 5%.,De top van de Peeskesbult vanuit 's Heerenberg ligt op 73 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:14:20 over de Peeskesbult vanuit 's Heerenberg. Bij 11 km/u is de tijd 00:09:07 en bij 15 km/u 00:06:41. Voor de snelste fietsers is 00:05:16 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/peeskesbult-s-heerenberg
Ulvend via Vroelenstraat,De Ulvend via Vroelenstraat is 2 kilometer lang.,Het gemiddelde stijgingspercentage van de Ulvend via Vroelenstraat is 3.4%.,De steilste 100 meter van de Ulvend via Vroelenstraat zijn gemiddeld 7.7%.,De top van de Ulvend via Vroelenstraat ligt op 218 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:17:25 over de Ulvend via Vroelenstraat. Bij 11 km/u is de tijd 00:11:05 en bij 15 km/u 00:08:07. Voor de snelste fietsers is 00:06:25 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vroelen
Keunestraat,De Keunestraat is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Keunestraat is 5.6%.,De steilste 100 meter van de Keunestraat zijn gemiddeld 8.2%.,De top van de Keunestraat ligt op 133 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:21 over de Keunestraat. Bij 11 km/u is de tijd 00:03:24 en bij 15 km/u 00:02:30. Voor de snelste fietsers is 00:01:58 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/keunestraat
Stichtse Rotonde via Laan 1914,De Stichtse Rotonde via Laan 1914 is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Stichtse Rotonde via Laan 1914 is 3.1%.,De steilste 100 meter van de Stichtse Rotonde via Laan 1914 zijn gemiddeld 7.5%.,De top van de Stichtse Rotonde via Laan 1914 ligt op 43 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:15 over de Stichtse Rotonde via Laan 1914. Bij 11 km/u is de tijd 00:05:53 en bij 15 km/u 00:04:19. Voor de snelste fietsers is 00:03:24 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/amersfoortse-berg-zuid
Groenendalsberg,De Groenendalsberg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Groenendalsberg is 8.5%.,De steilste 100 meter van de Groenendalsberg zijn gemiddeld 12.8%.,De top van de Groenendalsberg ligt op 167 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:20 over de Groenendalsberg. Bij 11 km/u is de tijd 00:02:45 en bij 15 km/u 00:02:01. Voor de snelste fietsers is 00:01:35 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/groenendalsberg
Hullekesberg vanuit De Steeg,De Hullekesberg vanuit De Steeg is 2.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Hullekesberg vanuit De Steeg is 2.7%.,De steilste 100 meter van de Hullekesberg vanuit De Steeg zijn gemiddeld 8%.,De top van de Hullekesberg vanuit De Steeg ligt op 94 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:23:24 over de Hullekesberg vanuit De Steeg. Bij 11 km/u is de tijd 00:14:53 en bij 15 km/u 00:10:55. Voor de snelste fietsers is 00:08:37 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hullekesberg
Bundersberg,De Bundersberg is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Bundersberg is 4.4%.,De steilste 100 meter van de Bundersberg zijn gemiddeld 11.6%.,De top van de Bundersberg ligt op 144 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:57 over de Bundersberg. Bij 11 km/u is de tijd 00:05:41 en bij 15 km/u 00:04:10. Voor de snelste fietsers is 00:03:18 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bundersberg
Sint Pietersberg via Luikerweg,De Sint Pietersberg via Luikerweg is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Sint Pietersberg via Luikerweg is 3.9%.,De steilste 100 meter van de Sint Pietersberg via Luikerweg zijn gemiddeld 8.5%.,De top van de Sint Pietersberg via Luikerweg ligt op 99 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:26 over de Sint Pietersberg via Luikerweg. Bij 11 km/u is de tijd 00:06:38 en bij 15 km/u 00:04:52. Voor de snelste fietsers is 00:03:50 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/sint-pietersberg-luikerweg
Filipsberg vanuit Wapenveld,De Filipsberg vanuit Wapenveld is 1.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Filipsberg vanuit Wapenveld is 2.6%.,De steilste 100 meter van de Filipsberg vanuit Wapenveld zijn gemiddeld 8.4%.,De top van de Filipsberg vanuit Wapenveld ligt op 58 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:16:04 over de Filipsberg vanuit Wapenveld. Bij 11 km/u is de tijd 00:10:13 en bij 15 km/u 00:07:30. Voor de snelste fietsers is 00:05:55 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/filipsberg
Meinweg vanuit Herkenbosch,De Meinweg vanuit Herkenbosch is 5 kilometer lang.,Het gemiddelde stijgingspercentage van de Meinweg vanuit Herkenbosch is 1.6%.,De steilste 100 meter van de Meinweg vanuit Herkenbosch zijn gemiddeld 9.5%.,De top van de Meinweg vanuit Herkenbosch ligt op 91 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:42:59 over de Meinweg vanuit Herkenbosch. Bij 11 km/u is de tijd 00:27:21 en bij 15 km/u 00:20:03. Voor de snelste fietsers is 00:15:50 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/meinweg
Sint Antoniusbank / Bemelerweg vanuit Bemelen,De Sint Antoniusbank / Bemelerweg vanuit Bemelen is 1.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Sint Antoniusbank / Bemelerweg vanuit Bemelen is 3.6%.,De steilste 100 meter van de Sint Antoniusbank / Bemelerweg vanuit Bemelen zijn gemiddeld 10.7%.,De top van de Sint Antoniusbank / Bemelerweg vanuit Bemelen ligt op 127 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:12:30 over de Sint Antoniusbank / Bemelerweg vanuit Bemelen. Bij 11 km/u is de tijd 00:07:57 en bij 15 km/u 00:05:50. Voor de snelste fietsers is 00:04:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/sint-antoniusbank
Muur van Beek / Hogeweg vanuit Beek,De Muur van Beek / Hogeweg vanuit Beek is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Muur van Beek / Hogeweg vanuit Beek is 6.6%.,De steilste 100 meter van de Muur van Beek / Hogeweg vanuit Beek zijn gemiddeld 12.2%.,De top van de Muur van Beek / Hogeweg vanuit Beek ligt op 94 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:47 over de Muur van Beek / Hogeweg vanuit Beek. Bij 11 km/u is de tijd 00:06:13 en bij 15 km/u 00:04:34. Voor de snelste fietsers is 00:03:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/muur-van-beek-van-randwijckweg-hogeweg
Steenen Tafel,De Steenen Tafel is 1.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Steenen Tafel is 3.7%.,De steilste 100 meter van de Steenen Tafel zijn gemiddeld 10.7%.,De top van de Steenen Tafel ligt op 90 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:13:55 over de Steenen Tafel. Bij 11 km/u is de tijd 00:08:51 en bij 15 km/u 00:06:29. Voor de snelste fietsers is 00:05:07 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/steenen-tafel
